dia,poblacion_sana,poblacion_infectada
0,132950.0000,50.0000
1,136992.9478,52.7992
2,141158.4854,55.9155
3,145450.2772,59.3913
4,149872.0886,63.2758
5,154427.7870,67.6265
6,159121.3425,72.5107
7,163956.8277,78.0073
8,168938.4181,84.2094
9,174070.3905,91.2270
10,179357.1205,99.1905
11,184803.0798,108.2549
12,190412.8305,118.6057
13,196191.0183,130.4651
14,202142.3624,144.1006
15,208271.6428,159.8357
16,214583.6820,178.0625
17,221083.3226,199.2593
18,227775.3968,224.0112
19,234664.6862,253.0376
20,241755.8705,287.2271
21,249053.4595,327.6821
22,256561.7042,375.7772
23,264284.4810,433.2347
24,272225.1388,502.2232
25,280386.2984,585.4877
26,288769.5865,686.5205
27,297375.2841,809.7884
28,306201.8576,961.0352
29,315245.3320,1147.6870
30,324498.4509,1379.3957
31,333949.5447,1668.7743
32,343581.0018,2032.3914
33,353367.1975,2492.1218
34,363271.6834,3076.9832
35,373243.3696,3825.6349
36,383211.3462,4789.7702
37,393077.8855,6038.6988
38,402709.0568,7665.4812
39,411922.3073,9795.0116
40,420470.3858,12594.3914
41,428021.2789,16285.6796
42,434134.6755,21160.4097
43,438237.3760,27593.7890
44,439603.6960,36053.7337
45,437352.9153,47095.4468
46,430483.9173,61326.4626
47,417974.2508,79322.5450
48,398968.4173,101478.2609
49,373054.2016,127798.0941
50,340566.6749,157680.9086
51,302785.9348,189805.4690
52,261871.2417,222235.4408
53,220470.4132,252776.7342
54,181132.9344,279466.4135
55,145787.4088,300975.8200
56,115492.5368,316767.1649
57,90489.6705,326998.4615
58,70437.4155,332289.4265
59,54681.4241,333474.8524
60,42468.0953,331419.0481
61,33076.5448,326907.7228
62,25881.6544,320602.0003
63,20372.2566,313031.3242
64,16145.4166,304606.0023
65,12890.7373,295637.0037
66,10372.4276,286356.3520
67,8412.7716,276935.1601
68,6878.3053,267498.4021
69,5668.8589,258136.4931
70,4709.1389,248914.1333
71,3942.3810,239876.9558
72,3325.6184,231056.4788
73,2826.1736,222473.7776
74,2419.0643,214142.2015
75,2085.0858,206069.3860
76,1809.3898,198258.7437
77,1580.4295,190710.5734
78,1389.1729,183422.8860
79,1228.5142,176392.0228
80,1092.8305,169613.1192
81,977.6473,163080.4532
82,879.3842,156787.7094
83,795.1605,150728.1775
84,722.6463,144894.9032
85,659.9477,139280.8026
86,605.5170,133878.7485
87,558.0836,128681.6357
88,516.5994,123682.4301
89,480.1960,118874.2056
90,448.1506,114250.1708
91,419.8590,109803.6890
92,394.8140,105528.2918
93,372.5883,101417.6890
94,352.8206,97465.7743
95,335.2039,93666.6288
96,319.4768,90014.5219
97,305.4158,86503.9116
98,292.8292,83129.4423
99,281.5520,79885.9427
100,271.4418,76768.4222
101,262.3754,73772.0671
102,254.2460,70892.2367
103,246.9603,68124.4587
104,240.4375,65464.4244
105,234.6063,62907.9838
106,229.4048,60451.1411
107,224.7784,58090.0496
108,220.6790,55821.0070
109,217.0644,53640.4502
110,213.8973,51544.9511
111,211.1449,49531.2115
112,208.7779,47596.0587
113,206.7706,45736.4412
114,205.1001,43949.4240
115,203.7464,42232.1845
116,202.6914,40582.0087
117,201.9193,38996.2868
118,201.4162,37472.5095
119,201.1696,36008.2643
120,201.1685,34601.2318
121,201.4035,33249.1821
122,201.8661,31949.9719
123,202.5489,30701.5406
124,203.4455,29501.9075
125,204.5504,28349.1687
126,205.8591,27241.4944
127,207.3673,26177.1256
128,209.0720,25154.3716
129,210.9704,24171.6077
130,213.0605,23227.2721
131,215.3407,22319.8639
132,217.8098,21447.9406
133,220.4675,20610.1159
134,223.3133,19805.0574
135,226.3478,19031.4848
136,229.5713,18288.1675
137,232.9851,17573.9229
138,236.5904,16887.6146
139,240.3889,16228.1505
140,244.3826,15594.4812
141,248.5739,14985.5980
142,252.9654,14400.5317
143,257.5600,13838.3511
144,262.3610,13298.1612
145,267.3717,12779.1018
146,272.5961,12280.3465
147,278.0380,11801.1012
148,283.7019,11340.6027
149,289.5922,10898.1177
150,295.7138,10472.9415
151,302.0719,10064.3970
152,308.6717,9671.8334
153,315.5189,9294.6256
154,322.6194,8932.1728
155,329.9793,8583.8976
156,337.6050,8249.2452
157,345.5034,7927.6828
158,353.6813,7618.6980
159,362.1459,7321.7986
160,370.9049,7036.5117
161,379.9661,6762.3830
162,389.3375,6498.9757
163,399.0277,6245.8703
164,409.0453,6002.6636
165,419.3994,5768.9682
166,430.0993,5544.4118
167,441.1547,5328.6369
168,452.5757,5121.2997
169,464.3725,4922.0699
170,476.5560,4730.6303
171,489.1371,4546.6761
172,502.1274,4369.9141
173,515.5386,4200.0629
174,529.3828,4036.8521
175,543.6728,3880.0217
176,558.4215,3729.3220
177,573.6423,3584.5131
178,589.3492,3445.3644
179,605.5562,3311.6543
180,622.2784,3183.1700
181,639.5307,3059.7070
182,657.3290,2941.0688
