dia,poblacion_sana,poblacion_infectada
0,94950.0000,50.0000
1,94942.1683,53.8097
2,94933.8399,57.9090
3,94924.9747,62.3199
4,94915.5295,67.0660
5,94905.4582,72.1726
6,94894.7111,77.6670
7,94883.2348,83.5785
8,94870.9720,89.9386
9,94857.8611,96.7810
10,94843.8362,104.1422
11,94828.8263,112.0611
12,94812.7550,120.5798
13,94795.5407,129.7432
14,94777.0954,139.5997
15,94757.3249,150.2014
16,94736.1278,161.6038
17,94713.3955,173.8669
18,94689.0114,187.0548
19,94662.8502,201.2365
20,94634.7778,216.4857
21,94604.6501,232.8816
22,94572.3128,250.5091
23,94537.6001,269.4592
24,94500.3347,289.8293
25,94460.3265,311.7235
26,94417.3717,335.2537
27,94371.2521,360.5391
28,94321.7344,387.7075
29,94268.5686,416.8954
30,94211.4876,448.2485
31,94150.2057,481.9225
32,94084.4176,518.0835
33,94013.7974,556.9084
34,93937.9971,598.5859
35,93856.6457,643.3167
36,93769.3476,691.3144
37,93675.6813,742.8058
38,93575.1987,798.0318
39,93467.4229,857.2477
40,93351.8474,920.7240
41,93227.9348,988.7466
42,93095.1152,1061.6176
43,92952.7854,1139.6555
44,92800.3076,1223.1954
45,92637.0079,1312.5897
46,92462.1764,1408.2078
47,92275.0654,1510.4361
48,92074.8896,1619.6779
49,91860.8251,1736.3532
50,91632.0102,1860.8978
51,91387.5451,1993.7624
52,91126.4927,2135.4117
53,90847.8801,2286.3227
54,90550.6998,2446.9831
55,90233.9123,2617.8884
56,89896.4490,2799.5398
57,89537.2158,2992.4407
58,89155.0975,3197.0928
59,88748.9632,3413.9917
60,88317.6726,3643.6221
61,87860.0831,3886.4522
62,87375.0581,4142.9272
63,86861.4768,4413.4623
64,86318.2441,4698.4354
65,85744.3025,4998.1787
66,85138.6448,5312.9700
67,84500.3275,5643.0230
68,83828.4858,5988.4781
69,83122.3485,6349.3922
70,82381.2545,6725.7286
71,81604.6690,7117.3465
72,80792.1999,7523.9919
73,79943.6144,7945.2879
74,79058.8549,8380.7261
75,78138.0542,8829.6593
76,77181.5489,9291.2957
77,76189.8914,9764.6939
78,75163.8603,10248.7611
79,74104.4674,10742.2525
80,73012.9619,11243.7737
81,71890.8320,11751.7859
82,70739.8019,12264.6135
83,69561.8259,12780.4547
84,68359.0782,13297.3953
85,67133.9388,13813.4247
86,65888.9758,14326.4549
87,64626.9238,14834.3414
88,63350.6599,15334.9060
89,62063.1762,15825.9613
90,60767.5503,16305.3357
91,59466.9148,16770.8988
92,58164.4252,17220.5868
93,56863.2282,17652.4263
94,55566.4302,18064.5576
95,54277.0674,18455.2555
96,52998.0775,18822.9477
97,51732.2740,19166.2305
98,50482.3229,19483.8815
99,49250.7235,19774.8691
100,48039.7917,20038.3587
101,46851.6479,20273.7153
102,45688.2071,20480.5031
103,44551.1744,20658.4827
104,43442.0418,20807.6044
105,42362.0902,20928.0000
106,41312.3922,21019.9726
107,40293.8190,21083.9837
108,39307.0485,21120.6403
109,38352.5756,21130.6800
110,37430.7233,21114.9561
111,36541.6551,21074.4225
112,35685.3888,21010.1180
113,34861.8092,20923.1516
114,34070.6818,20814.6881
115,33311.6666,20685.9343
116,32584.3307,20538.1259
117,31888.1611,20372.5159
118,31222.5766,20190.3634
119,30586.9387,19992.9240
120,29980.5626,19781.4406
121,29402.7262,19557.1361
122,28852.6792,19321.2067
123,28329.6508,19074.8157
124,27832.8568,18819.0893
125,27361.5060,18555.1127
126,26914.8057,18283.9265
127,26491.9664,18006.5251
128,26092.2058,17723.8547
129,25714.7529,17436.8120
130,25358.8502,17146.2441
131,25023.7570,16852.9485
132,24708.7504,16557.6730
133,24413.1280,16261.1167
134,24136.2082,15963.9309
135,23877.3315,15666.7203
136,23635.8613,15370.0446
137,23411.1837,15074.4198
138,23202.7083,14780.3199
139,23009.8679,14488.1789
140,22832.1182,14198.3925
141,22668.9376,13911.3199
142,22519.8270,13627.2858
143,22384.3091,13346.5821
144,22261.9277,13069.4701
145,22152.2475,12796.1820
146,22054.8530,12526.9228
147,21969.3481,12261.8721
148,21895.3553,12001.1856
149,21832.5148,11744.9971
150,21780.4842,11493.4197
151,21738.9373,11246.5473
152,21707.5636,11004.4564
153,21686.0676,10767.2069
