dia,poblacion_sana,poblacion_infectada
0,1749900.0000,100.0000
1,1749877.6996,113.8815
2,1749852.5527,129.6898
3,1749824.1571,147.6919
4,1749792.0547,168.1925
5,1749755.7245,191.5380
6,1749714.5733,218.1231
7,1749667.9257,248.3971
8,1749615.0132,282.8714
9,1749554.9609,322.1286
10,1749486.7729,366.8315
11,1749409.3157,417.7350
12,1749321.2989,475.6982
13,1749221.2542,541.6990
14,1749107.5099,616.8506
15,1748978.1639,702.4196
16,1748831.0515,799.8477
17,1748663.7094,910.7751
18,1748473.3350,1037.0680
19,1748256.7397,1180.8493
20,1748010.2966,1344.5337
21,1747729.8803,1530.8671
22,1747410.8000,1742.9715
23,1747047.7223,1984.3958
24,1746634.5848,2259.1728
25,1746164.4984,2571.8846
26,1745629.6367,2927.7346
27,1745021.1115,3332.6303
28,1744328.8325,3793.2753
29,1743541.3501,4317.2728
30,1742645.6782,4913.2417
31,1741627.0970,5590.9455
32,1740468.9318,6361.4363
33,1739152.3078,7237.2145
34,1737655.8781,8232.4045
35,1735955.5223,9362.9485
36,1734024.0173,10646.8175
37,1731830.6761,12104.2401
38,1729340.9573,13757.9490
39,1726516.0445,15633.4419
40,1723312.3995,17759.2562
41,1719681.2930,20167.2515
42,1715568.3200,22892.8945
43,1710912.9105,25975.5366
44,1705647.8495,29458.6734
45,1699698.8268,33390.1691
46,1692984.0405,37822.4253
47,1685413.8888,42812.4692
48,1676890.7897,48421.9294
49,1667309.1793,54716.8598
50,1656555.7480,61767.3683
51,1644509.9828,69646.9985
52,1631045.0934,78431.8084
53,1616029.4036,88199.0876
54,1599328.2913,99025.6564
55,1580806.7552,110985.6955
56,1560332.6697,124148.0726
57,1537780.7636,138573.1529
58,1513037.3152,154309.1220
59,1486005.4990,171387.8912
60,1456611.2465,189820.7211
61,1424809.3965,209593.7630
62,1390589.8200,230663.7908
63,1353983.1181,252954.4571
64,1315065.4238,276353.4541
65,1273961.8048,300710.9737
66,1230847.7848,325839.8298
67,1185948.5805,351517.5241
68,1139535.7958,377490.4050
69,1091921.5196,403479.8860
70,1043450.0133,429190.4930
71,994487.4152,454319.3050
72,945410.1072,478566.1901
73,896592.5324,501644.1325
74,848395.3101,523288.9252
75,801154.4502,543267.5659
76,755172.3326,561384.8331
77,710710.9163,577487.7108
78,667987.4047,591467.5448
79,627172.3617,603260.0160
80,588390.0725,612843.1851
81,551720.7964,620233.9802
82,517204.4746,625483.5581
83,484845.4289,628671.9778
84,454617.6117,629902.5895
85,426470.0241,629296.4800
86,400331.9958,626987.2359
87,376118.1016,623116.2100
88,353732.5699,617828.3976
89,333073.1031,611268.9711
90,314034.0877,603580.4706
91,296509.2094,594900.6131
92,280393.5166,585360.6624
93,265584.9916,575084.2879
94,251985.6977,564186.8368
95,239502.5678,552774.9464
96,228047.9014,540946.4285
97,217539.6275,528790.3635
98,207901.3860,516387.3521
99,199062.4716,503809.8807
100,190957.6765,491122.7623
101,183527.0628,478383.6258
102,176715.6884,465643.4289
103,170473.3042,452946.9777
104,164754.0385,440333.4401
105,159516.0784,427836.8437
106,154721.3563,415486.5500
107,150335.2474,403307.7036
108,146326.2807,391321.6513
109,142665.8681,379546.3310
110,139328.0500,367996.6308
111,136289.2606,356684.7178
112,133528.1102,345620.3390
113,131025.1867,334811.0944
114,128762.8734,324262.6845
115,126725.1825,313979.1353
116,124897.6045,303962.9991
117,123266.9711,294215.5376
118,121821.3312,284736.8841
119,120549.8380,275526.1906
120,119442.6481,266581.7587
121,118490.8290,257901.1567
122,117686.2768,249481.3238
123,117021.6412,241318.6638
124,116490.2578,233409.1279
125,116086.0872,225748.2879
126,115803.6600,218331.4023
127,115638.0273,211153.4738
128,115584.7154,204209.3008
129,115639.6856,197493.5224
130,115799.2974,191000.6588
131,116060.2751,184725.1462
132,116419.6781,178661.3677
133,116874.8737,172803.6801
134,117423.5120,167146.4381
135,118063.5040,161684.0142
136,118793.0009,156410.8169
137,119610.3760,151321.3061
138,120514.2074,146410.0059
139,121503.2629,141671.5165
140,122576.4862,137100.5233
141,123732.9836,132691.8054
142,124972.0129,128440.2418
143,126292.9723,124340.8172
144,127695.3904,120388.6263
145,129178.9176,116578.8774
146,130743.3175,112906.8951
147,132388.4593,109368.1220
148,134114.3103,105958.1203
149,135920.9300,102672.5721
150,137808.4631,99507.2801
151,139777.1345,96458.1669
152,141827.2434,93521.2750
153,143959.1585,90692.7651
154,146173.3132,87968.9159
155,148470.2011,85346.1217
156,150850.3717,82820.8913
157,153314.4264,80389.8463
158,155863.0145,78049.7188
159,158496.8297,75797.3493
160,161216.6059,73629.6852
161,164023.1146,71543.7775
162,166917.1607,69536.7797
163,169899.5797,67605.9444
164,172971.2338,65748.6217
165,176133.0096,63962.2564
166,179385.8140,62244.3858
167,182730.5716,60592.6376
168,186168.2212,59004.7267
169,189699.7129,57478.4541
170,193326.0048,56011.7034
171,197048.0599,54602.4394
172,200866.8427,53248.7055
173,204783.3160,51948.6216
174,208798.4377,50700.3821
175,212913.1574,49502.2534
176,217128.4131,48352.5726
177,221445.1274,47249.7450
178,225864.2043,46192.2422
179,230386.5255,45178.6007
180,235012.9468,44207.4197
181,239744.2941,43277.3597
182,244581.3600,42387.1405
183,249524.8992,41535.5401
184,254575.6254,40721.3929
185,259734.2065,39943.5884
186,265001.2607,39201.0698
187,270377.3523,38492.8325
188,275862.9872,37817.9236
189,281458.6086,37175.4397
190,287164.5923,36564.5269
191,292981.2426,35984.3790
192,298908.7869,35434.2372
193,304947.3713,34913.3887
194,311097.0560,34421.1666
195,317357.8098,33956.9485
196,323729.5056,33520.1565
197,330211.9151,33110.2563
198,336804.7038,32726.7572
199,343507.4256,32369.2112
200,350319.5178,32037.2131
201,357240.2954,31730.4004
202,364268.9464,31448.4530
203,371404.5257,31191.0932
204,378645.9501,30958.0860
205,385991.9925,30749.2394
206,393441.2769,30564.4041
207,400992.2722,30403.4748
208,408643.2872,30266.3900
209,416392.4647,30153.1331
210,424237.7760,30063.7328
211,432177.0153,29998.2642
212,440207.7941,29956.8499
213,448327.5356,29939.6607
214,456533.4690,29946.9173
215,464822.6237,29978.8914
216,473191.8243,30035.9075
217,481637.6840,30118.3444
218,490156.5998,30226.6370
219,498744.7463,30361.2785
220,507398.0705,30522.8224
221,516112.2854,30711.8848
222,524882.8651,30929.1472
223,533705.0384,31175.3588
224,542573.7835,31451.3396
225,551483.8218,31757.9832
226,560429.6123,32096.2606
227,569405.3456,32467.2229
228,578404.9378,32872.0054
229,587422.0246,33311.8312
230,596449.9553,33788.0153
231,605481.7861,34301.9687
232,614510.2744,34855.2025
233,623527.8721,35449.3331
234,632526.7193,36086.0859
235,641498.6375,36767.3009
236,650435.1235,37494.9368
237,659327.3427,38271.0768
238,668166.1221,39097.9327
239,676941.9442,39977.8505
240,685644.9404,40913.3148
241,694264.8846,41906.9541
242,702791.1873,42961.5449
243,711212.8895,44080.0162
244,719518.6578,45265.4534
245,727696.7792,46521.1017
246,735735.1574,47850.3686
247,743621.3096,49256.8265
248,751342.3645,50744.2129
249,758885.0616,52316.4312
250,766235.7527,53977.5485
251,773380.4044,55731.7931
252,780304.6041,57583.5493
253,786993.5682,59537.3505
254,793432.1529,61597.8699
255,799604.8702,63769.9083
256,805495.9068,66058.3785
257,811089.1481,68468.2871
258,816368.2085,71004.7112
259,821316.4662,73672.7722
260,825917.1060,76477.6036
261,830153.1691,79424.3151
262,834007.6103,82517.9500
263,837463.3651,85763.4382
264,840503.4247,89165.5416
265,843110.9222,92728.7951
266,845269.2276,96457.4394
267,846962.0549,100355.3491
268,848173.5786,104425.9527
269,848888.5620,108672.1487
270,849092.4950,113096.2141
271,848771.7426,117699.7095
272,847913.7021,122483.3796
273,846506.9679,127447.0511
274,844541.5029,132589.5292
275,842008.8140,137908.4946
276,838902.1297,143400.4026
277,835216.5761,149060.3875
278,830949.3495,154882.1736
279,826099.8808,160857.9966
280,820669.9882,166978.5369
281,814664.0148,173232.8698
282,808088.9458,179608.4335
283,800954.5019,186091.0179
284,793273.2051,192664.7785
285,785060.4121,199312.2755
286,776334.3135,206014.5400
287,767115.8949,212751.1701
288,757428.8596,219500.4548
289,747299.5104,226239.5273
290,736756.5922,232944.5446
291,725831.0951,239590.8932
292,714556.0221,246153.4161
293,702966.1234,252606.6578
294,691097.6027,258925.1235
295,678987.8005,265083.5462
296,666674.8605,271057.1572
297,654197.3856,276821.9538
298,641594.0913,282354.9579
299,628903.4619,287634.4613
300,616163.4179,292640.2512
301,603410.9998,297353.8121
302,590682.0740,301758.5001
303,578011.0669,305839.6866
304,565430.7296,309584.8691
305,552971.9367,312983.7480
306,540663.5219,316028.2700
307,528532.1495,318712.6379
308,516602.2232,321033.2885
309,504895.8302,322988.8410
310,493432.7194,324580.0196
311,482230.3103,325809.5513
312,471303.7305,326682.0452
313,460665.8782,327203.8547
314,450327.5053,327382.9282
315,440297.3193,327228.6501
316,430582.0982,326751.6772
317,421186.8167,325963.7729
318,412114.7793,324877.6421
319,403367.7577,323506.7699
320,394946.1307,321865.2647
321,386849.0223,319967.7104
322,379074.4378,317829.0254
323,371619.3958,315464.3328
324,364480.0540,312888.8406
325,357651.8287,310117.7326
326,351129.5073,307166.0709
327,344907.3520,304048.7090
328,338979.1965,300780.2163
329,333338.5336,297374.8125
330,327978.5953,293846.3125
331,322892.4243,290208.0800
332,318072.9385,286472.9907
333,313512.9879,282653.4028
334,309205.4044,278761.1350
335,305143.0454,274807.4517
336,301318.8318,270803.0531
337,297725.7798,266758.0715
338,294357.0281,262682.0716
339,291205.8607,258584.0552
340,288265.7253,254472.4691
341,285530.2481,250355.2159
342,282993.2458,246239.6673
343,280648.7339,242132.6795
344,278490.9333,238040.6100
345,276514.2741,233969.3357
346,274713.3977,229924.2722
347,273083.1572,225910.3931
348,271618.6166,221932.2506
349,270315.0486,217993.9955
350,269167.9310,214099.3977
351,268172.9431,210251.8664
352,267325.9608,206454.4701
353,266623.0512,202709.9562
354,266060.4668,199020.7701
355,265634.6397,195389.0740
356,265342.1749,191816.7645
357,265179.8436,188305.4907
358,265144.5770,184856.6702
359,265233.4591,181471.5057
360,265443.7199,178151.0002
361,265772.7291,174895.9718
362,266217.9884,171707.0672
363,266777.1260,168584.7758
364,267447.8888,165529.4415
365,268228.1370,162541.2752
