dia,poblacion_sana,poblacion_infectada
0,649900.0000,100.0000
1,649870.3525,118.8223
2,649835.4149,141.1858
3,649794.1851,167.7561
4,649745.4729,199.3236
5,649687.8654,236.8269
6,649619.6850,281.3804
7,649538.9402,334.3070
8,649443.2673,397.1765
9,649329.8613,471.8521
10,649195.3941,560.5437
11,649035.9184,665.8719
12,648846.7539,790.9436
13,648622.3531,939.4398
14,648356.1441,1115.7200
15,648040.3456,1324.9435
16,647665.7507,1573.2117
17,647221.4743,1867.7334
18,646694.6594,2217.0167
19,646070.1376,2631.0904
20,645330.0369,3121.7570
21,644453.3350,3702.8817
22,643415.3502,4390.7167
23,642187.1718,5204.2620
24,640735.0279,6165.6611
25,639019.5966,7300.6235
26,636995.2733,8638.8644
27,634609.4145,10214.5422
28,631801.5924,12066.6651
29,628502.9132,14239.4249
30,624635.4722,16782.4000
31,620112.0462,19750.5479
32,614836.1579,23203.8883
33,608702.6775,27206.7495
34,601599.1600,31826.4358
35,593408.1400,37131.1567
36,584010.6054,43187.0682
37,573290.8426,50054.3090
38,561142.7572,57781.9919
39,547477.6278,66402.2371
40,532233.0211,75923.5215
41,515382.3076,86323.8456
42,496943.8928,97544.4710
43,476988.9899,109485.1819
44,455646.5966,122002.1206
45,433104.3953,134909.1455
46,409604.6509,147983.3215
47,385434.8155,160974.5869
48,360913.3913,173618.9384
49,336372.4437,185653.7996
50,312138.7898,196833.7696
51,288516.1296,206944.8323
52,265770.1640,215815.3821
53,244118.1356,223323.0081
54,223723.4074,229396.7187
55,204694.8844,234014.9802
56,187090.4587,237200.4572
57,170923.3064,239012.5894
58,156169.7962,239539.1545
59,142777.9044,238887.7937
60,130675.2925,237178.2172
61,119776.4919,234535.5277
62,109988.9098,231084.8533
63,101217.5777,226947.2990
64,93368.7042,222237.1023
65,86352.1788,217059.8167
66,80083.2064,211511.3205
67,74483.2570,205677.4593
68,69480.5001,199634.1463
69,65009.8675,193447.7779
70,61012.8627,187175.8490
71,57437.2071,180867.6806
72,54236.3916,174565.1958
73,51369.1831,168303.6995
74,48799.1197,162112.6325
75,46494.0179,156016.2793
76,44425.5052,150034.4225
77,42568.5873,144182.9356
78,40901.2534,138474.3163
79,39404.1193,132918.1602
80,38060.1102,127521.5799
81,36854.1772,122289.5727
82,35773.0489,117225.3419
83,34805.0118,112330.5767
84,33939.7182,107605.6948
85,33168.0183,103050.0528
86,32481.8131,98662.1272
87,31873.9268,94439.6706
88,31337.9945,90379.8458
89,30868.3653,86479.3411
90,30460.0172,82734.4683
91,30108.4830,79141.2472
92,29809.7855,75695.4767
93,29560.3816,72392.7963
94,29357.1122,69228.7373
95,29197.1595,66198.7665
96,29078.0089,63298.3226
97,28997.4163,60522.8473
98,28953.3781,57867.8109
99,28944.1066,55328.7330
100,28968.0066,52901.2006
101,29023.6561,50580.8815
102,29109.7886,48363.5365
103,29225.2774,46245.0277
104,29369.1221,44221.3258
105,29540.4365,42288.5152
106,29738.4376,40442.7979
107,29962.4361,38680.4956
108,30211.8281,36998.0515
109,30486.0870,35392.0304
110,30784.7570,33859.1191
111,31107.4472,32396.1245
112,31453.8260,30999.9732
113,31823.6159,29667.7089
114,32216.5898,28396.4909
115,32632.5665,27183.5908
116,33071.4075,26026.3905
117,33533.0136,24922.3790
118,34017.3221,23869.1494
119,34524.3042,22864.3957
120,35053.9628,21905.9100
121,35606.3298,20991.5789
122,36181.4647,20119.3805
123,36779.4529,19287.3810
124,37400.4033,18493.7318
125,38044.4475,17736.6661
126,38711.7385,17014.4959
127,39402.4487,16325.6090
128,40116.7694,15668.4659
129,40854.9096,15041.5970
130,41617.0946,14443.5998
131,42403.5656,13873.1359
132,43214.5785,13328.9286
133,44050.4029,12809.7603
134,44911.3217,12314.4697
135,45797.6302,11841.9497
136,46709.6352,11391.1451
137,47647.6545,10961.0499
138,48612.0162,10550.7056
139,49603.0581,10159.1989
140,50621.1270,9785.6599
141,51666.5778,9429.2596
142,52739.7735,9089.2089
143,53841.0842,8764.7562
144,54970.8864,8455.1858
145,56129.5627,8159.8166
146,57317.5011,7878.0000
147,58535.0943,7609.1191
148,59782.7390,7352.5864
149,61060.8356,7107.8434
150,62369.7874,6874.3585
151,63709.9999,6651.6263
152,65081.8800,6439.1660
153,66485.8360,6236.5206
154,67922.2759,6043.2558
155,69391.6077,5858.9585
156,70894.2379,5683.2367
