dia,poblacion_sana,poblacion_infectada
0,1099900.0000,100.0000
1,1127733.9097,100.8568
2,1156272.0796,101.9363
3,1185532.3021,103.2508
4,1215532.8165,104.8149
5,1246292.3193,106.6455
6,1277829.9758,108.7617
7,1310165.4311,111.1860
8,1343318.8212,113.9437
9,1377310.7852,117.0643
10,1412162.4762,120.5811
11,1447895.5737,124.5328
12,1484532.2955,128.9636
13,1522095.4093,133.9240
14,1560608.2452,139.4726
15,1600094.7071,145.6765
16,1640579.2852,152.6133
17,1682087.0671,160.3727
18,1724643.7495,169.0588
19,1768275.6489,178.7922
20,1813009.7122,189.7135
21,1858873.5258,201.9871
22,1905895.3242,215.8050
23,1954103.9971,231.3930
24,2003529.0943,249.0170
25,2054200.8288,268.9911
26,2106150.0766,291.6876
27,2159408.3723,317.5494
28,2214007.9009,347.1052
29,2269981.4820,380.9884
30,2327362.5471,419.9603
31,2386185.1061,464.9404
32,2446483.7013,517.0423
33,2508293.3437,577.6217
34,2571649.4289,648.3348
35,2636587.6242,731.2138
36,2703143.7197,828.7639
37,2771353.4329,944.0870
38,2841252.1507,1081.0413
39,2912874.5911,1244.4494
40,2986254.3589,1440.3684
41,3061423.3588,1676.4442
42,3138411.0218,1962.3773
43,3217243.2796,2310.5399
44,3297941.2009,2736.7961
45,3380519.1717,3261.5979
46,3464982.4552,3911.4587
47,3551323.9068,4720.9427
48,3639519.5297,5735.3667
49,3729522.4339,7014.4854
50,3821254.5892,8637.5440
51,3914595.5127,10710.2358
52,4009366.6915,13374.3209
53,4105310.0535,16820.9686
54,4202058.1311,21309.3067
55,4299092.6466,27192.2353
56,4395687.0378,34952.3105
57,4490826.9058,45251.4272
58,4583100.6082,58999.0400
59,4670550.5770,77444.4588
60,4750475.3718,102298.6064
61,4819175.1160,135887.9105
62,4871643.1020,181334.5569
63,4901231.6669,242737.5949
64,4899372.4989,325290.3046
65,4855522.3471,435203.2435
66,4757632.4691,579214.1487
67,4593552.2355,763399.3075
68,4353722.5079,991075.2241
69,4035045.3151,1259977.2118
70,3644806.9359,1559688.8534
71,3202456.3451,1871052.3478
72,2737145.2258,2169025.6343
73,2281088.7611,2428585.5584
74,1861712.1450,2631007.7591
75,1496404.9351,2767447.1322
76,1191634.6790,2838697.2170
77,945389.2866,2852323.4210
78,750753.5961,2819167.3435
79,598974.1296,2750588.6076
80,481416.9583,2656846.0650
81,390525.0369,2546426.5032
82,320115.7192,2425961.7652
83,265329.8905,2300432.2351
84,222438.3284,2173466.7348
85,188616.7245,2047641.1953
86,161739.6053,1924736.0469
87,140210.0490,1805942.4520
88,122826.4102,1692020.9024
89,108681.1425,1583420.2792
90,97085.2992,1480365.9671
91,87512.7006,1382924.5352
92,79558.8012,1291050.9992
93,72910.3969,1204623.2748
94,67323.2685,1123467.2574
95,62605.6239,1047375.0584
96,58605.7755,976118.2413
97,55202.9208,909457.4026
98,52300.2040,847149.0707
99,49819.4604,788950.6365
100,47697.2127,734623.8333
101,45881.5992,683937.1470
102,44330.0040,636667.4360
103,43007.2150,592600.9685
104,41883.9862,551534.0290
105,40935.9060,513273.2091
106,40142.5026,477635.4678
107,39486.5331,444448.0239
108,38953.4140,413548.1300
109,38530.7639,384782.7626
110,38208.0338,358008.2566
111,37976.2065,333089.9030
112,37827.5520,309901.5271
113,37755.4258,288325.0564
114,37754.1038,268250.0881
115,37818.6451,249573.4617
116,37944.7785,232198.8415
117,38128.8072,216036.3121
118,38367.5301,201001.9888
119,38658.1741,187017.6443
120,38998.3388,174010.3535
121,39385.9485,161912.1554
122,39819.2115,150659.7327
123,40296.5866,140194.1091
124,40816.7530,130460.3644
125,41378.5854,121407.3650
126,41981.1327,112987.5119
127,42623.5993,105156.5031
128,43305.3291,97873.1110
129,44025.7919,91098.9745
130,44784.5711,84798.4033
131,45581.3537,78938.1959
132,46415.9212,73487.4685
133,47288.1417,68417.4958
134,48197.9632,63701.5623
135,49145.4077,59314.8233
136,50130.5657,55234.1751
137,51153.5923,51438.1343
138,52214.7027,47906.7253
139,53314.1690,44621.3751
140,54452.3173,41564.8153
141,55629.5250,38720.9912
142,56846.2183,36074.9771
143,58102.8708,33612.8967
144,59400.0012,31321.8502
145,60738.1724,29189.8452
146,62117.9899,27205.7335
147,63540.1008,25359.1514
148,65005.1929,23640.4650
149,66513.9942,22040.7182
150,68067.2720,20551.5857
151,69665.8328,19165.3282
152,71310.5214,17874.7510
153,73002.2213,16673.1661
154,74741.8540,15554.3559
155,76530.3793,14512.5404
156,78368.7950,13542.3465
157,80258.1373,12638.7786
158,82199.4808,11797.1927
159,84193.9387,11013.2713
160,86242.6632,10283.0003
161,88346.8456,9602.6475
162,90507.7171,8968.7431
163,92726.5487,8378.0608
164,95004.6522,7827.6007
165,97343.3807,7314.5734
166,99744.1286,6836.3852
167,102208.3332,6390.6242
168,104737.4744,5975.0473
169,107333.0762,5587.5687
170,109996.7070,5226.2484
171,112729.9805,4889.2823
172,115534.5567,4574.9922
173,118412.1427,4281.8174
174,121364.4935,4008.3060
175,124393.4131,3753.1075
176,127500.7554,3514.9655
177,130688.4255,3292.7112
178,133958.3804,3085.2573
179,137312.6303,2891.5919
180,140753.2399,2710.7738
181,144282.3294,2541.9269
182,147902.0757,2384.2361
183,151614.7140,2236.9427
184,155422.5386,2099.3407
185,159327.9050,1970.7731
186,163333.2303,1850.6280
187,167440.9958,1738.3362
188,171653.7474,1633.3675
189,175974.0981,1535.2285
190,180404.7286,1443.4596
191,184948.3900,1357.6330
192,189607.9044,1277.3504
193,194386.1675,1202.2406
194,199286.1498,1131.9580
195,204310.8987,1066.1809
196,209463.5402,1004.6093
197,214747.2809,946.9640
198,220165.4101,892.9847
199,225721.3015,842.4290
200,231418.4156,795.0708
201,237260.3014,750.6997
202,243250.5994,709.1194
203,249393.0427,670.1471
204,255691.4605,633.6120
205,262149.7796,599.3555
206,268772.0271,567.2292
207,275562.3330,537.0950
208,282524.9327,508.8240
209,289664.1697,482.2960
210,296984.4979,457.3991
211,304490.4849,434.0286
212,312186.8147,412.0870
213,320078.2901,391.4835
214,328169.8366,372.1330
215,336466.5045,353.9565
216,344973.4728,336.8799
217,353696.0519,320.8345
218,362639.6872,305.7557
219,371809.9626,291.5837
220,381212.6033,278.2622
221,390853.4803,265.7390
222,400738.6134,253.9654
223,410874.1750,242.8956
224,421266.4943,232.4873
225,431922.0610,222.7006
226,442847.5291,213.4987
227,454049.7217,204.8468
228,465535.6344,196.7129
229,477312.4405,189.0667
230,489387.4949,181.8804
231,501768.3387,175.1278
232,514462.7042,168.7845
233,527478.5196,162.8278
234,540823.9138,157.2367
235,554507.2216,151.9916
236,568536.9886,147.0742
237,582921.9771,142.4676
238,597671.1710,138.1562
239,612793.7815,134.1253
240,628299.2531,130.3618
241,644197.2692,126.8531
242,660497.7581,123.5879
243,677210.8994,120.5560
244,694347.1300,117.7478
245,711917.1510,115.1548
246,729931.9339,112.7693
247,748402.7276,110.5843
248,767341.0656,108.5940
249,786758.7725,106.7929
250,806667.9722,105.1767
251,827081.0945,103.7417
252,848010.8834,102.4851
253,869470.4047,101.4047
254,891473.0542,100.4994
255,914032.5658,99.7687
256,937163.0200,99.2131
257,960878.8524,98.8342
258,985194.8631,98.6341
259,1010126.2249,98.6164
260,1035688.4933,98.7856
261,1061897.6154,99.1474
262,1088769.9402,99.7087
263,1116322.2278,100.4781
264,1144571.6601,101.4655
265,1173535.8507,102.6827
266,1203232.8556,104.1433
267,1233681.1840,105.8632
268,1264899.8092,107.8605
269,1296908.1795,110.1565
270,1329726.2299,112.7751
271,1363374.3931,115.7441
272,1397873.6118,119.0952
273,1433245.3498,122.8648
274,1469511.6044,127.0947
