dia,susceptibles,infectados,pct_infectados
0,1299900.00,100.00,0.0077
1,1339446.03,124.02,0.0093
2,1380184.55,155.18,0.0112
3,1422147.88,195.95,0.0138
4,1465367.81,249.75,0.0170
5,1509874.90,321.41,0.0213
6,1555697.50,417.75,0.0268
7,1602860.20,548.57,0.0342
8,1651381.62,727.96,0.0441
9,1701270.92,976.54,0.0574
10,1752522.49,1324.66,0.0755
11,1805107.82,1817.51,0.1006
12,1858962.65,2523.12,0.1355
13,1913966.97,3544.86,0.1849
14,1969913.11,5041.53,0.2553
15,2026454.85,7259.45,0.3570
16,2083025.75,10584.10,0.5055
17,2138707.83,15623.42,0.7252
18,2192021.44,23341.04,1.0536
19,2240593.69,35265.90,1.5496
20,2280652.44,53809.77,2.3050
21,2306304.55,82711.15,3.4621
22,2308649.26,127552.65,5.2357
23,2275072.16,196082.32,7.9348
24,2189721.91,297604.38,11.9648
25,2037054.12,440123.66,17.7671
26,1810084.44,624262.80,25.6440
27,1520851.85,836199.71,35.4765
28,1203454.19,1046969.38,46.5232
29,901401.43,1223587.97,57.5809
30,647418.20,1344601.34,67.4994
31,453291.34,1406469.78,75.6264
32,314201.22,1418497.18,81.8664
33,218227.88,1394439.84,86.4679
34,153135.03,1346995.00,89.7919
35,109124.87,1285838.73,92.1772
36,79193.96,1217644.25,93.8933
37,58607.25,1146756.93,95.1378
38,44243.56,1075901.59,96.0502
39,34062.40,1006732.66,96.7273
40,26727.44,940215.75,97.2359
41,21356.92,876878.82,97.6223
42,17362.59,816973.68,97.9190
43,14347.02,760578.88,98.1486
44,12038.00,707665.26,98.3274
45,10246.47,658137.82,98.4670
46,8839.30,611862.59,98.5759
47,7721.45,568683.94,98.6604
48,6824.17,528435.78,98.7251
49,6097.14,490948.82,98.7733
50,5503.02,456055.16,98.8077
51,5013.84,423591.23,98.8302
52,4608.37,393399.63,98.8421
53,4270.37,365330.17,98.8446
54,3987.26,339240.39,98.8383
55,3749.24,314995.77,98.8237
56,3548.58,292469.78,98.8012
57,3379.14,271543.65,98.7709
58,3236.02,252106.12,98.7327
59,3115.26,234053.18,98.6865
60,3013.66,217287.69,98.6320
61,2928.59,201718.99,98.5690
62,2857.90,187262.59,98.4968
63,2799.82,173839.77,98.4150
64,2752.88,161377.22,98.3227
65,2715.84,149806.73,98.2194
66,2687.68,139064.83,98.1040
67,2667.53,129092.49,97.9755
68,2654.67,119834.84,97.8327
69,2648.48,111240.85,97.6745
70,2648.43,103263.11,97.4994
71,2654.09,95857.57,97.3058
72,2665.09,88983.28,97.0920
73,2681.10,82602.21,96.8562
74,2701.85,76679.05,96.5963
75,2727.12,71180.97,96.3101
76,2756.71,66077.53,95.9951
77,2790.47,61340.41,95.6488
78,2828.25,56943.34,95.2682
79,2869.94,52861.94,94.8504
80,2915.46,49073.53,94.3922
81,2964.73,45557.11,93.8899
82,3017.69,42293.13,93.3400
83,3074.31,39263.47,92.7386
84,3134.54,36451.32,92.0817
85,3198.39,33841.04,91.3649
86,3265.83,31418.13,90.5840
87,3336.88,29169.14,89.7346
88,3411.55,27081.58,88.8121
89,3489.85,25143.83,87.8121
90,3571.81,23345.15,86.7303
91,3657.47,21675.54,85.5624
92,3746.88,20125.73,84.3047
93,3840.07,18687.10,82.9536
94,3937.11,17351.67,81.5062
95,4038.06,16112.03,79.9601
96,4142.99,14961.29,78.3138
97,4251.96,13893.06,76.5668
98,4365.05,12901.42,74.7195
99,4482.35,11980.86,72.7735
100,4603.95,11126.28,70.7318
101,4729.94,10332.93,68.5987
102,4860.41,9596.43,66.3799
103,4995.48,8912.68,64.0824
104,5135.24,8277.90,61.7149
105,5279.82,7688.57,59.2870
106,5429.34,7141.43,56.8098
107,5583.91,6633.45,54.2953
108,5743.68,6161.81,51.7561
109,5908.76,5723.91,49.2055
110,6079.31,5317.33,46.6570
111,6255.47,4939.81,44.1241
112,6437.38,4589.28,41.6198
113,6625.22,4263.80,39.1569
114,6819.13,3961.56,36.7468
115,7019.30,3680.91,34.4004
116,7225.88,3420.30,32.1270
117,7439.07,3178.28,29.9348
118,7659.05,2953.53,27.8305
119,7886.01,2744.81,25.8194
120,8120.15,2550.97,23.9053
121,8361.69,2370.94,22.0909
122,8610.83,2203.73,20.3774
123,8867.79,2048.43,18.7650
124,9132.80,1904.18,17.2528
125,9406.10,1770.20,15.8389
126,9687.92,1645.75,14.5209
127,9978.53,1530.14,13.2955
128,10278.17,1422.74,12.1592
129,10587.12,1322.97,11.1080
130,10905.65,1230.28,10.1375
131,11234.04,1144.17,9.2434
132,11572.59,1064.16,8.4212
133,11921.60,989.82,7.6663
134,12281.38,920.75,6.9743
135,12652.26,856.57,6.3408
136,13034.56,796.92,5.7617
137,13428.63,741.49,5.2328
138,13834.82,689.98,4.7504
139,14253.50,642.11,4.3107
140,14685.04,597.61,3.9104
141,15129.82,556.25,3.5461
142,15588.25,517.80,3.2150
143,16060.73,482.06,2.9140
144,16547.70,448.84,2.6408
145,17049.58,417.95,2.3927
146,17566.84,389.23,2.1677
147,18099.92,362.52,1.9636
148,18649.32,337.69,1.7785
149,19215.52,314.60,1.6108
150,19799.04,293.12,1.4589
151,20400.39,273.15,1.3212
152,21020.12,254.57,1.1966
153,21658.79,237.28,1.0837
154,22316.97,221.21,0.9815
155,22995.24,206.25,0.8889
156,23694.23,192.33,0.8052
157,24414.56,179.38,0.7294
158,25156.87,167.33,0.6607
159,25921.84,156.11,0.5986
160,26710.15,145.67,0.5424
161,27522.51,135.96,0.4916
162,28359.65,126.91,0.4455
163,29222.33,118.49,0.4038
164,30111.31,110.65,0.3661
165,31027.41,103.34,0.3320
166,31971.44,96.54,0.3011
167,32944.26,90.21,0.2731
168,33946.73,84.31,0.2477
169,34979.76,78.81,0.2248
170,36044.29,73.69,0.2040
171,37141.26,68.92,0.1852
172,38271.66,64.47,0.1682
173,39436.52,60.33,0.1527
174,40636.88,56.46,0.1388
175,41873.81,52.86,0.1261
176,43148.44,49.50,0.1146
177,44461.91,46.37,0.1042
178,45815.40,43.45,0.0947
179,47210.13,40.72,0.0862
180,48647.36,38.18,0.0784
181,50128.37,35.81,0.0714
182,51654.50,33.60,0.0650
183,53227.13,31.53,0.0592
184,54847.67,29.60,0.0539
185,56517.58,27.80,0.0492
186,58238.35,26.12,0.0448
187,60011.55,24.55,0.0409
188,61838.76,23.08,0.0373
189,63721.63,21.71,0.0341
190,65661.86,20.43,0.0311
191,67661.19,19.24,0.0284
192,69721.41,18.12,0.0260
193,71844.39,17.07,0.0238
194,74032.03,16.10,0.0217
195,76286.31,15.18,0.0199
196,78609.25,14.33,0.0182
197,81002.94,13.53,0.0167
198,83469.54,12.78,0.0153
199,86011.27,12.08,0.0140
200,88630.41,11.42,0.0129
201,91329.32,10.81,0.0118
202,94110.44,10.23,0.0109
203,96976.26,9.70,0.0100
204,99929.36,9.19,0.0092
205,102972.40,8.72,0.0085
206,106108.13,8.28,0.0078
207,109339.35,7.87,0.0072
208,112668.99,7.48,0.0066
209,116100.04,7.11,0.0061
210,119635.58,6.77,0.0057
211,123278.79,6.45,0.0052
212,127032.97,6.15,0.0048
213,130901.48,5.87,0.0045
214,134887.80,5.61,0.0042
215,138995.54,5.37,0.0039
216,143228.37,5.13,0.0036
217,147590.12,4.92,0.0033
218,152084.70,4.72,0.0031
219,156716.16,4.53,0.0029
220,161488.68,4.35,0.0027
221,166406.54,4.18,0.0025
222,171474.18,4.03,0.0023
223,176696.15,3.88,0.0022
224,182077.16,3.75,0.0021
225,187622.04,3.62,0.0019
226,193335.79,3.50,0.0018
227,199223.55,3.39,0.0017
228,205290.61,3.29,0.0016
229,211542.45,3.20,0.0015
230,217984.69,3.11,0.0014
231,224623.12,3.03,0.0013
232,231463.71,2.95,0.0013
233,238512.64,2.89,0.0012
234,245776.23,2.82,0.0011
235,253261.04,2.77,0.0011
236,260973.78,2.72,0.0010
237,268921.41,2.67,0.0010
238,277111.09,2.63,0.0009
239,285550.17,2.60,0.0009
240,294246.25,2.57,0.0009
241,303207.16,2.55,0.0008
242,312440.98,2.53,0.0008
243,321955.99,2.51,0.0008
244,331760.78,2.51,0.0008
245,341864.16,2.50,0.0007
246,352275.23,2.51,0.0007
247,363003.35,2.52,0.0007
248,374058.18,2.53,0.0007
249,385449.68,2.55,0.0007
250,397188.08,2.58,0.0006
251,409283.96,2.62,0.0006
252,421748.20,2.66,0.0006
253,434592.02,2.71,0.0006
254,447826.97,2.77,0.0006
255,461464.97,2.84,0.0006
256,475518.29,2.92,0.0006
257,489999.57,3.02,0.0006
258,504921.84,3.12,0.0006
259,520298.54,3.24,0.0006
260,536143.49,3.38,0.0006
261,552470.96,3.53,0.0006
262,569295.63,3.71,0.0007
263,586632.64,3.91,0.0007
264,604497.58,4.13,0.0007
265,622906.53,4.39,0.0007
266,641876.04,4.68,0.0007
267,661423.18,5.01,0.0008
268,681565.53,5.39,0.0008
269,702321.19,5.82,0.0008
270,723708.82,6.32,0.0009
271,745747.66,6.89,0.0009
272,768457.51,7.55,0.0010
273,791858.76,8.31,0.0010
274,815972.46,9.20,0.0011
275,840820.23,10.25,0.0012
276,866424.39,11.47,0.0013
277,892807.90,12.91,0.0014
278,919994.41,14.62,0.0016
279,948008.26,16.66,0.0018
280,976874.53,19.10,0.0020
281,1006619.00,22.04,0.0022
282,1037268.22,25.60,0.0025
283,1068849.44,29.95,0.0028
284,1101390.73,35.27,0.0032
285,1134920.85,41.85,0.0037
286,1169469.34,50.03,0.0043
287,1205066.45,60.26,0.0050
288,1241743.07,73.18,0.0059
289,1279530.74,89.58,0.0070
290,1318461.47,110.60,0.0084
291,1358567.58,137.74,0.0101
292,1399881.52,173.09,0.0124
293,1442435.40,219.52,0.0152
294,1486260.55,281.06,0.0189
295,1531386.62,363.39,0.0237
296,1577840.41,474.60,0.0301
297,1625644.04,626.30,0.0385
298,1674812.18,835.35,0.0499
299,1725347.79,1126.47,0.0652
300,1777235.70,1536.26,0.0864
301,1830432.43,2119.48,0.1157
302,1884850.46,2958.94,0.1567
303,1940333.22,4181.14,0.2150
304,1996615.37,5981.30,0.2987
305,2053259.21,8663.53,0.4202
306,2109552.36,12705.66,0.5987
307,2164343.59,18863.28,0.8640
308,2215781.38,28335.49,1.2627
309,2260906.69,43021.60,1.8673
310,2295047.23,65898.43,2.7912
311,2311000.08,101514.10,4.2078
312,2298157.11,156468.16,6.3744
313,2242178.09,239422.52,9.6479
314,2126643.34,359615.79,14.4641
315,1938752.09,522493.87,21.2288
316,1679378.88,722550.22,30.0821
317,1371525.49,938174.05,40.6189
318,1056195.63,1136502.89,51.8312
319,774043.89,1288382.63,62.4693
320,548140.93,1380869.06,71.5843
321,381296.44,1417549.95,78.8033
322,264214.92,1410775.49,84.2259
323,184253.40,1374241.92,88.1775
324,130177.01,1319300.97,91.0190
325,93545.55,1254143.65,93.0588
326,68512.13,1184247.85,94.5311
327,51181.66,1113112.32,95.6041
328,39000.69,1042897.91,96.3952
329,30300.08,974894.66,96.9857
330,23983.41,909836.17,97.4317
331,19323.68,848103.82,97.7723
332,15833.03,789857.32,98.0348
333,13179.77,735117.80,98.2387
334,11135.20,683820.80,98.3977
335,9539.42,635850.23,98.5219
336,8279.13,591060.14,98.6186
337,7272.92,549288.85,98.6932
338,6461.56,510368.04,98.7498
