dia,poblacion_sana,poblacion_infectada
0,132950.0000,50.0000
1,132944.2424,52.7248
2,132938.2610,55.5979
3,132932.0408,58.6272
4,132925.5665,61.8214
5,132918.8216,65.1893
6,132911.7891,68.7403
7,132904.4510,72.4844
8,132896.7886,76.4320
9,132888.7819,80.5942
10,132880.4103,84.9826
11,132871.6517,89.6093
12,132862.4834,94.4874
13,132852.8811,99.6304
14,132842.8194,105.0525
15,132832.2716,110.7690
16,132821.2097,116.7956
17,132809.6042,123.1492
18,132797.4240,129.8473
19,132784.6364,136.9085
20,132771.2071,144.3523
21,132757.0998,152.1995
22,132742.2767,160.4716
23,132726.6976,169.1915
24,132710.3205,178.3832
25,132693.1011,188.0721
26,132674.9928,198.2848
27,132655.9465,209.0493
28,132635.9107,220.3952
29,132614.8311,232.3535
30,132592.6505,244.9570
31,132569.3091,258.2400
32,132544.7435,272.2388
33,132518.8874,286.9913
34,132491.6708,302.5376
35,132463.0202,318.9199
36,132432.8585,336.1823
37,132401.1042,354.3714
38,132367.6721,373.5361
39,132332.4723,393.7278
40,132295.4104,415.0005
41,132256.3872,437.4109
42,132215.2985,461.0185
43,132172.0349,485.8859
44,132126.4813,512.0788
45,132078.5170,539.6660
46,132028.0153,568.7197
47,131974.8429,599.3160
48,131918.8602,631.5341
49,131859.9208,665.4574
50,131797.8708,701.1733
51,131732.5491,738.7731
52,131663.7867,778.3527
53,131591.4066,820.0123
54,131515.2231,863.8567
55,131435.0421,909.9956
56,131350.6601,958.5435
57,131261.8643,1009.6203
58,131168.4320,1063.3510
59,131070.1305,1119.8660
60,130966.7165,1179.3014
61,130857.9359,1241.7990
62,130743.5234,1307.5066
63,130623.2023,1376.5780
64,130496.6838,1449.1729
65,130363.6672,1525.4577
66,130223.8393,1605.6049
67,130076.8741,1689.7933
68,129922.4326,1778.2086
69,129760.1624,1871.0426
70,129589.6980,1968.4939
71,129410.6599,2070.7676
72,129222.6551,2178.0752
73,129025.2765,2290.6346
74,128818.1035,2408.6698
75,128600.7012,2532.4111
76,128372.6211,2662.0943
77,128133.4013,2797.9609
78,127882.5663,2940.2576
79,127619.6276,3089.2356
80,127344.0843,3245.1505
81,127055.4232,3408.2615
82,126753.1200,3578.8307
83,126436.6397,3757.1226
84,126105.4377,3943.4027
85,125758.9609,4137.9373
86,125396.6487,4340.9917
87,125017.9348,4552.8295
88,124622.2485,4773.7110
89,124209.0167,5003.8918
90,123777.6654,5243.6214
91,123327.6225,5493.1416
92,122858.3197,5752.6841
93,122369.1952,6022.4692
94,121859.6967,6302.7035
95,121329.2838,6593.5773
96,120777.4322,6895.2630
97,120203.6360,7207.9121
98,119607.4121,7531.6528
99,118988.3036,7866.5875
100,118345.8840,8212.7900
101,117679.7609,8570.3028
102,116989.5807,8939.1342
103,116275.0325,9319.2559
104,115535.8525,9710.5997
105,114771.8288,10113.0552
106,113982.8051,10526.4671
107,113168.6858,10950.6329
108,112329.4392,11385.3001
109,111465.1024,11830.1648
110,110575.7847,12284.8694
111,109661.6708,12749.0011
112,108723.0248,13222.0910
113,107760.1919,13703.6129
114,106773.6016,14192.9834
115,105763.7689,14689.5614
116,104731.2960,15192.6492
117,103676.8725,15701.4933
118,102601.2752,16215.2861
119,101505.3681,16733.1682
120,100390.1001,17254.2309
121,99256.5032,17777.5199
122,98105.6896,18302.0389
123,96938.8478,18826.7543
124,95757.2381,19350.5997
125,94562.1880,19872.4819
126,93355.0855,20391.2862
127,92137.3740,20905.8829
128,90910.5440,21415.1338
129,89676.1268,21917.8986
130,88435.6862,22413.0422
131,87190.8105,22899.4414
132,85943.1041,23375.9918
133,84694.1794,23841.6149
134,83445.6482,24295.2643
135,82199.1130,24735.9327
136,80956.1598,25162.6573
137,79718.3489,25574.5259
138,78487.2086,25970.6820
139,77264.2273,26350.3293
140,76050.8469,26712.7358
141,74848.4575,27057.2373
142,73658.3908,27383.2405
143,72481.9163,27690.2244
144,71320.2366,27977.7430
145,70174.4842,28245.4248
146,69045.7185,28492.9743
147,67934.9238,28720.1708
148,66843.0083,28926.8677
149,65770.8025,29112.9911
150,64719.0598,29278.5375
151,63688.4565,29423.5719
152,62679.5928,29548.2244
153,61692.9943,29652.6870
154,60729.1137,29737.2107
155,59788.3334,29802.1010
156,58870.9676,29847.7147
157,57977.2653,29874.4552
158,57107.4136,29882.7686
159,56261.5407,29873.1400
160,55439.7194,29846.0882
161,54641.9705,29802.1629
162,53868.2664,29741.9395
163,53118.5346,29666.0157
164,52392.6612,29575.0077
165,51690.4946,29469.5462
166,51011.8486,29350.2731
167,50356.5058,29217.8383
168,49724.2209,29072.8962
169,49114.7237,28916.1033
170,48527.7222,28748.1150
171,47962.9049,28569.5835
172,47419.9442,28381.1550
173,46898.4981,28183.4684
174,46398.2130,27977.1527
175,45918.7258,27762.8259
176,45459.6657,27541.0932
177,45020.6560,27312.5455
178,44601.3164,27077.7591
179,44201.2636,26837.2939
180,43820.1135,26591.6930
181,43457.4820,26341.4821
182,43112.9863,26087.1689
183,42786.2459,25829.2427
184,42476.8834,25568.1741
185,42184.5257,25304.4151
186,41908.8039,25038.3988
187,41649.3548,24770.5393
188,41405.8206,24501.2321
189,41177.8500,24230.8544
190,40965.0981,23959.7646
191,40767.2268,23688.3035
192,40583.9051,23416.7941
193,40414.8093,23145.5420
194,40259.6230,22874.8359
195,40118.0371,22604.9483
196,39989.7501,22336.1355
197,39874.4679,22068.6383
198,39771.9035,21802.6826
199,39681.7777,21538.4797
200,39603.8181,21276.2270
201,39537.7596,21016.1084
202,39483.3439,20758.2950
203,39440.3196,20502.9453
204,39408.4419,20250.2061
205,39387.4723,20000.2128
206,39377.1785,19753.0898
207,39377.3345,19508.9513
208,39387.7198,19267.9016
209,39408.1196,19030.0355
210,39438.3243,18795.4390
211,39478.1295,18564.1897
212,39527.3359,18336.3570
213,39585.7485,18112.0028
214,39653.1770,17891.1819
215,39729.4350,17673.9423
216,39814.3404,17460.3254
217,39907.7146,17250.3670
218,40009.3825,17044.0970
219,40119.1724,16841.5399
220,40236.9156,16642.7156
221,40362.4462,16447.6391
222,40495.6012,16256.3211
223,40636.2196,16068.7683
224,40784.1429,15884.9836
225,40939.2146,15704.9665
226,41101.2801,15528.7131
227,41270.1863,15356.2167
228,41445.7816,15187.4676
229,41627.9159,15022.4539
230,41816.4399,14861.1610
231,42011.2056,14703.5723
232,42212.0656,14549.6694
233,42418.8732,14399.4320
234,42631.4822,14252.8381
235,42849.7469,14109.8644
236,43073.5217,13970.4863
237,43302.6611,13834.6780
238,43537.0197,13702.4127
239,43776.4520,13573.6627
240,44020.8121,13448.3996
241,44269.9540,13326.5942
242,44523.7311,13208.2169
243,44781.9965,13093.2375
244,45044.6025,12981.6255
245,45311.4008,12873.3501
246,45582.2425,12768.3804
247,45856.9777,12666.6853
248,46135.4558,12568.2335
249,46417.5252,12472.9939
250,46703.0335,12380.9353
251,46991.8272,12292.0269
252,47283.7519,12206.2377
253,47578.6520,12123.5371
254,47876.3710,12043.8948
255,48176.7513,11967.2807
256,48479.6343,11893.6651
257,48784.8601,11823.0185
258,49092.2680,11755.3120
259,49401.6962,11690.5170
260,49712.9816,11628.6053
261,50025.9606,11569.5491
262,50340.4681,11513.3213
