dia,poblacion_sana,poblacion_infectada
0,1499900.0000,100.0000
1,1499872.8101,115.0255
2,1499841.8949,132.3081
3,1499806.6845,152.1868
4,1499766.5235,175.0512
5,1499720.6587,201.3495
6,1499668.2242,231.5971
7,1499608.2248,266.3865
8,1499539.5160,306.3990
9,1499460.7825,352.4180
10,1499370.5122,405.3439
11,1499266.9671,466.2119
12,1499148.1495,536.2118
13,1499011.7635,616.7108
14,1498855.1705,709.2802
15,1498675.3389,815.7254
16,1498468.7856,938.1199
17,1498231.5095,1078.8455
18,1497958.9154,1240.6369
19,1497645.7270,1426.6333
20,1497285.8873,1640.4371
21,1496872.4456,1886.1809
22,1496397.4278,2168.6034
23,1495851.6894,2493.1358
24,1495224.7492,2865.9998
25,1494504.5993,3294.3177
26,1493677.4919,3786.2375
27,1492727.6975,4351.0722
28,1491637.2345,4999.4565
29,1490385.5652,5743.5210
30,1488949.2582,6597.0845
31,1487301.6133,7575.8657
32,1485412.2494,8697.7141
33,1483246.6537,9982.8582
34,1480765.6948,11454.1702
35,1477925.1015,13137.4424
36,1474674.9159,15061.6699
37,1470958.9283,17259.3309
38,1466714.1109,19766.6517
39,1461870.0703,22623.8410
40,1456348.5487,25875.2689
41,1450063.0118,29569.5644
42,1442918.3735,33759.5932
43,1434810.9181,38502.2724
44,1425628.4976,43858.1686
45,1415251.0909,49890.8181
46,1403551.8266,56665.7028
47,1390398.5793,64248.8102
48,1375656.2478,72704.7109
49,1359189.8194,82094.0981
50,1340868.2959,92470.7541
51,1320569.5172,103877.9520
52,1298185.8498,116344.3486
53,1273630.6190,129879.5031
54,1246845.0492,144469.2360
55,1217805.3502,160071.1405
56,1186529.4613,176610.6431
57,1153082.8559,193978.0757
58,1117582.7522,212027.2473
59,1080200.0870,230575.9592
60,1041158.7130,249408.8012
61,1000731.4861,268282.3718
62,959233.1955,286932.8213
63,917010.6307,305085.3376
64,874430.4150,322464.9384
65,831865.5140,338807.7361
66,789681.4880,353871.7581
67,748223.5792,367446.4396
68,707805.5924,379360.0642
69,668701.2842,389484.6750
70,631138.6559,397738.2714
71,595297.2178,404084.3909
72,561308.0041,408529.4111
73,529255.9011,411118.0693
74,499183.7317,411927.7666
75,471097.5021,411062.2276
76,444972.2544,408645.0178
77,420758.0500,404813.3272
78,398385.7183,399712.3126
79,377772.1164,393490.1822
80,358824.7467,386294.1075
81,341445.6674,378266.9733
82,325534.6903,369544.9197
83,310991.9089,360255.5975
84,297719.6246,350517.0361
85,285623.7524,340437.0216
86,274614.7912,330112.8833
87,264608.4398,319631.5939
88,255525.9337,309070.1045
89,247294.1655,298495.8443
90,239845.6459,287967.3283
91,233118.3484,277534.8291
92,227055.4739,267241.0774
93,221605.1653,257121.9649
94,216720.1913,247207.2321
95,212357.6174,237521.1252
96,208478.4759,228083.0158
97,205047.4426,218907.9772
98,202032.5270,210007.3151
99,199404.7783,201389.0514
100,197138.0113,193058.3633
101,195208.5508,185017.9777
