dia,poblacion_sana,poblacion_infectada
0,1749900.0000,100.0000
1,1803169.2601,114.1839
2,1858056.6514,131.0865
3,1914610.5279,151.3320
4,1972880.4763,175.7101
5,2032917.2827,205.2256
6,2094772.8755,241.1643
7,2158500.2345,285.1813
8,2224153.2546,339.4207
9,2291786.5460,406.6770
10,2361455.1449,490.6164
11,2433214.1011,596.0809
12,2507117.8899,729.5096
13,2583219.5776,899.5261
14,2661569.6327,1117.7637
15,2742214.2309,1400.0331
16,2825192.8258,1767.9875
17,2910534.6530,2251.5140
18,2998253.6651,2892.1954
19,3088341.1520,3748.3589
20,3180754.9142,4902.4964
21,3275403.2714,6472.2478
22,3372121.2886,8626.7735
23,3470635.2106,11611.3134
24,3570508.9736,15784.2189
25,3671063.4456,21672.9917
26,3771254.2990,30059.1711
27,3869487.7111,42106.5236
28,3963344.4636,59552.7751
29,4049174.1809,84990.5944
30,4121518.8554,122263.4860
31,4172346.2179,176982.7331
32,4190159.7757,257101.0639
33,4159279.1446,373300.1812
34,4060041.6220,538598.8418
35,3871316.5055,766118.4754
36,3576952.7316,1063845.6261
37,3176086.4124,1426695.2299
38,2692495.0296,1829979.6609
39,2173899.0645,2231506.0201
40,1676726.1115,2585221.0805
41,1245255.8035,2858319.2022
42,899946.8855,3039660.0723
43,639727.4131,3136336.0360
44,451436.6566,3164752.2796
45,318494.5087,3142979.2789
46,225787.8856,3086693.7299
47,161383.8444,3007957.3771
48,116549.4924,2915443.3803
49,85153.6848,2815145.2983
50,62984.3586,2711106.2348
51,47175.7363,2606010.5388
52,35782.2528,2501617.7196
53,27479.6737,2399064.9279
54,21361.6369,2299072.3996
55,16803.1574,2202081.2759
56,13369.5620,2108345.6551
57,10755.7349,2017994.1074
58,8745.4457,1931070.9228
59,7183.9666,1847563.9126
60,5959.5076,1767423.2612
61,4990.5298,1690574.3880
62,4217.0032,1616926.7757
63,3594.3303,1546380.0635
64,3089.0861,1478828.2683
65,2676.0040,1414162.7189
66,2335.8270,1352274.0943
67,2053.7610,1293053.8385
68,1818.3529,1236395.1340
69,1620.6705,1182193.5639
70,1453.6980,1130347.5525
71,1311.8869,1080758.6462
72,1190.8201,1033331.6817
73,1086.9592,987974.8710
74,997.4523,944599.8286
75,919.9871,903121.5557
76,852.6785,863458.3950
77,793.9815,825531.9637
78,742.6229,789267.0723
79,697.5488,754591.6334
80,657.8820,721436.5635
81,622.8897,689735.6824
82,591.9566,659425.6095
83,564.5642,630445.6609
84,540.2735,602737.7461
85,518.7118,576246.2671
86,499.5611,550918.0192
87,482.5495,526702.0944
88,467.4437,503549.7870
89,454.0426,481414.5030
90,442.1727,460251.6715
91,431.6838,440018.6601
92,422.4455,420674.6927
93,414.3443,402180.7705
94,407.2815,384499.5967
95,401.1704,367595.5029
96,395.9357,351434.3794
97,391.5110,335983.6083
98,387.8384,321211.9986
99,384.8666,307089.7248
100,382.5511,293588.2676
101,380.8524,280680.3570
102,379.7360,268339.9182
103,379.1715,256542.0198
104,379.1324,245262.8232
105,379.5953,234479.5359
106,380.5400,224170.3652
107,381.9489,214314.4746
108,383.8065,204891.9423
109,386.0999,195883.7210
110,388.8177,187271.5995
111,391.9506,179038.1665
112,395.4906,171166.7750
113,399.4313,163641.5096
114,403.7677,156447.1536
115,408.4959,149569.1590
116,413.6131,142993.6168
117,419.1177,136707.2293
118,425.0090,130697.2829
119,431.2871,124951.6228
120,437.9531,119458.6283
121,445.0089,114207.1896
122,452.4571,109186.6849
123,460.3010,104386.9595
124,468.5447,99798.3050
125,477.1930,95411.4397
126,486.2511,91217.4900
127,495.7250,87207.9723
128,505.6214,83374.7760
129,515.9473,79710.1471
130,526.7106,76206.6725
131,537.9195,72857.2651
132,549.5829,69655.1492
133,561.7102,66593.8472
134,574.3114,63667.1663
135,587.3969,60869.1861
136,600.9779,58194.2462
137,615.0659,55636.9354
138,629.6731,53192.0804
139,644.8122,50854.7353
140,660.4963,48620.1719
141,676.7394,46483.8696
142,693.5558,44441.5070
143,710.9604,42488.9523
144,728.9688,40622.2558
145,747.5970,38837.6414
146,766.8619,37131.4988
147,786.7807,35500.3768
148,807.3714,33940.9760
149,828.6526,32450.1418
150,850.6435,31024.8586
151,873.3641,29662.2433
152,896.8349,28359.5398
153,921.0773,27114.1129
154,946.1132,25923.4436
155,971.9654,24785.1236
156,998.6574,23696.8504
157,1026.2134,22656.4228
158,1054.6586,21661.7367
159,1084.0187,20710.7802
160,1114.3206,19801.6300
161,1145.5916,18932.4474
162,1177.8604,18101.4747
163,1211.1561,17307.0313
164,1245.5092,16547.5107
165,1280.9509,15821.3769
166,1317.5132,15127.1616
167,1355.2296,14463.4610
