dia,poblacion_sana,poblacion_infectada
0,799900.0000,100.0000
1,799881.2829,109.4152
2,799861.0337,119.7164
3,799839.1027,130.9869
4,799815.3261,143.3179
5,799789.5252,156.8089
6,799761.5043,171.5690
7,799731.0497,187.7175
8,799697.9276,205.3847
9,799661.8827,224.7131
10,799622.6357,245.8588
11,799579.8811,268.9923
12,799533.2854,294.3000
13,799482.4836,321.9858
14,799427.0768,352.2726
15,799366.6291,385.4040
16,799300.6638,421.6465
17,799228.6600,461.2912
18,799150.0484,504.6563
19,799064.2066,552.0895
20,798970.4547,603.9709
21,798868.0496,660.7156
22,798756.1794,722.7771
23,798633.9573,790.6507
24,798500.4145,864.8774
25,798354.4928,946.0478
26,798195.0368,1034.8066
27,798020.7849,1131.8574
28,797830.3602,1237.9679
29,797622.2596,1353.9756
30,797394.8434,1480.7938
31,797146.3227,1619.4180
32,796874.7470,1770.9332
33,796577.9894,1936.5212
34,796253.7325,2117.4691
35,795899.4512,2315.1775
36,795512.3962,2531.1702
37,795089.5747,2767.1038
38,794627.7308,3024.7783
39,794123.3241,3306.1483
40,793572.5073,3613.3346
41,792971.1023,3948.6364
42,792314.5749,4314.5442
43,791598.0081,4713.7531
44,790816.0748,5149.1764
45,789963.0090,5623.9594
46,789032.5754,6141.4937
47,788018.0399,6705.4311
48,786912.1381,7319.6973
49,785707.0443,7988.5047
50,784394.3415,8716.3651
51,782964.9910,9508.1004
52,781409.3047,10368.8510
53,779716.9196,11304.0829
54,777876.7752,12319.5909
55,775877.0958,13421.4978
56,773705.3784,14616.2489
57,771348.3885,15910.6008
58,768792.1633,17311.6031
59,766022.0282,18826.5713
60,763022.6235,20463.0506
61,759777.9486,22228.7687
62,756271.4225,24131.5754
63,752485.9648,26179.3685
64,748404.0991,28380.0044
65,744008.0816,30741.1914
66,739280.0572,33270.3651
67,734202.2442,35974.5453
68,728757.1508,38860.1736
69,722927.8216,41932.9324
70,716698.1171,45197.5457
71,710053.0218,48657.5650
72,702978.9805,52315.1410
73,695464.2576,56170.7884
74,687499.3132,60223.1461
75,679077.1893,64468.7421
76,670193.8944,68901.7699
77,660848.7770,73513.8861
78,651044.8734,78294.0386
79,640789.2167,83228.3380
80,630093.0903,88299.9797
81,618972.2133,93489.2297
82,607446.8425,98773.4817
83,595541.7790,104127.3911
84,583286.2703,109523.0928
85,570713.8037,114930.5001
86,557861.7867,120317.6849
87,544771.1219,125651.3300
88,531485.6819,130897.2434
89,518051.7000,136020.9197
90,504517.0939,140988.1316
91,490930.7435,145765.5304
92,477341.7480,150321.2366
93,463798.6849,154625.3983
94,450348.8977,158650.6992
95,437037.8326,162372.7993
96,423908.4444,165770.6947
97,411000.6882,168826.9878
98,398351.1053,171528.0620
99,385992.5121,173864.1612
100,373953.7913,175829.3767
101,362259.7839,177421.5497
102,350931.2744,178642.0970
103,339985.0603,179495.7746
104,329434.0946,179990.3890
105,319287.6871,180136.4727
106,309551.7536,179946.9345
107,300229.0980,179436.6981
108,291319.7166,178622.3401
109,282821.1128,177521.7364
110,274728.6138,176153.7243
111,267035.6801,174537.7876
112,259734.2028,172693.7674
113,252814.7833,170641.6036
114,246266.9920,168401.1055
115,240079.6042,165991.7551
116,234240.8124,163432.5399
117,228738.4136,160741.8156
118,223559.9742,157937.1955
119,218692.9712,155035.4657
120,214124.9133,152052.5225
121,209843.4410,149003.3300
122,205836.4105,145901.8953
123,202091.9609,142761.2591
124,198598.5667,139593.4990
125,195345.0790,136409.7431
126,192320.7552,133220.1930
127,189515.2794,130034.1532
128,186918.7757,126860.0658
129,184521.8141,123705.5498
130,182315.4113,120577.4426
131,180291.0270,117481.8434
132,178440.5566,114424.1579
133,176756.3210,111409.1427
134,175231.0547,108440.9497
135,173857.8908,105523.1696
136,172630.3469,102658.8743
137,171542.3081,99850.6574
138,170588.0114,97100.6738
139,169762.0282,94410.6767
140,169059.2480,91782.0528
141,168474.8617,89215.8562
142,168004.3453,86712.8395
143,167643.4441,84273.4833
144,167388.1571,81898.0234
145,167234.7224,79586.4767
146,167179.6028,77338.6648
147,167219.4721,75154.2355
148,167351.2018,73032.6838
149,167571.8492,70973.3698
150,167878.6450,68975.5361
151,168268.9822,67038.3234
152,168740.4056,65160.7848
153,169290.6017,63341.8990
154,169917.3888,61580.5818
155,170618.7086,59875.6973
156,171392.6170,58226.0671
157,172237.2766,56630.4799
158,173150.9487,55087.6986
159,174131.9867,53596.4680
160,175178.8287,52155.5210
161,176289.9915,50763.5842
162,177464.0647,49419.3833
163,178699.7047,48121.6473
164,179995.6297,46869.1126
165,181350.6144,45660.5267
166,182763.4852,44494.6509
167,184233.1163,43370.2634
168,185758.4244,42286.1613
169,187338.3656,41241.1628
170,188971.9313,40234.1089
171,190658.1444,39263.8646
172,192396.0561,38329.3205
173,194184.7428,37429.3934
174,196023.3026,36563.0273
175,197910.8529,35729.1941
176,199846.5272,34926.8937
177,201829.4729,34155.1547
178,203858.8486,33413.0345
179,205933.8215,32699.6193
180,208053.5658,32014.0241
181,210217.2598,31355.3928
182,212424.0845,30722.8977
183,214673.2213,30115.7396
184,216963.8504,29533.1476
185,219295.1488,28974.3783
186,221666.2888,28438.7159
187,224076.4364,27925.4715
188,226524.7499,27433.9830
189,229010.3781,26963.6144
190,231532.4595,26513.7554
191,234090.1204,26083.8210
192,236682.4741,25673.2510
193,239308.6198,25281.5095
194,241967.6409,24908.0843
195,244658.6047,24552.4867
196,247380.5611,24214.2508
197,250132.5412,23892.9331
198,252913.5575,23588.1119
199,255722.6019,23299.3873
200,258558.6459,23026.3800
201,261420.6390,22768.7317
202,264307.5087,22526.1039
203,267218.1597,22298.1782
204,270151.4732,22084.6553
205,273106.3061,21885.2551
206,276081.4912,21699.7161
207,279075.8361,21527.7949
208,282088.1229,21369.2663
209,285117.1082,21223.9227
210,288161.5224,21091.5738
211,291220.0692,20972.0464
212,294291.4259,20865.1842
213,297374.2429,20770.8473
214,300467.1431,20688.9122
215,303568.7225,20619.2716
216,306677.5493,20561.8340
217,309792.1644,20516.5237
218,312911.0809,20483.2805
219,316032.7842,20462.0597
220,319155.7320,20452.8317
221,322278.3543,20455.5820
222,325399.0534,20470.3112
223,328516.2039,20497.0347
224,331628.1529,20535.7825
225,334733.2200,20586.5995
226,337829.6975,20649.5448
227,340915.8504,20724.6921
228,343989.9169,20812.1294
229,347050.1083,20911.9590
230,350094.6092,21024.2971
231,353121.5781,21149.2740
232,356129.1474,21287.0339
233,359115.4237,21437.7348
234,362078.4885,21601.5481
235,365016.3980,21778.6589
236,367927.1842,21969.2652
237,370808.8549,22173.5783
238,373659.3942,22391.8223
239,376476.7635,22624.2336
240,379258.9018,22871.0610
241,382003.7263,23132.5651
242,384709.1334,23409.0180
243,387372.9997,23700.7027
244,389993.1822,24007.9128
245,392567.5203,24330.9518
