dia,poblacion_sana,poblacion_infectada
0,1099900.0000,100.0000
1,1099890.1775,100.7520
2,1099880.5051,101.5096
3,1099870.9785,102.2729
4,1099861.5933,103.0418
5,1099852.3454,103.8164
6,1099843.2307,104.5967
7,1099834.2451,105.3829
8,1099825.3849,106.1749
9,1099816.6461,106.9727
10,1099808.0250,107.7765
11,1099799.5180,108.5863
12,1099791.1216,109.4021
13,1099782.8323,110.2239
14,1099774.6466,111.0519
15,1099766.5613,111.8859
16,1099758.5732,112.7262
17,1099750.6790,113.5728
18,1099742.8757,114.4256
19,1099735.1603,115.2848
20,1099727.5298,116.1503
21,1099719.9813,117.0223
22,1099712.5121,117.9007
23,1099705.1193,118.7857
24,1099697.8003,119.6773
25,1099690.5525,120.5755
26,1099683.3732,121.4803
27,1099676.2600,122.3919
28,1099669.2104,123.3103
29,1099662.2219,124.2355
30,1099655.2924,125.1675
31,1099648.4193,126.1065
32,1099641.6006,127.0525
33,1099634.8340,128.0055
34,1099628.1173,128.9656
35,1099621.4485,129.9328
36,1099614.8255,130.9072
37,1099608.2462,131.8889
38,1099601.7087,132.8778
39,1099595.2111,133.8741
40,1099588.7515,134.8778
41,1099582.3281,135.8890
42,1099575.9389,136.9077
43,1099569.5823,137.9339
44,1099563.2566,138.9678
45,1099556.9600,140.0094
46,1099550.6908,141.0587
47,1099544.4474,142.1157
48,1099538.2283,143.1807
49,1099532.0319,144.2536
50,1099525.8566,145.3344
51,1099519.7010,146.4233
52,1099513.5635,147.5202
53,1099507.4427,148.6253
54,1099501.3373,149.7386
55,1099495.2458,150.8602
56,1099489.1668,151.9901
57,1099483.0991,153.1284
58,1099477.0413,154.2752
59,1099470.9921,155.4305
60,1099464.9503,156.5944
61,1099458.9146,157.7669
62,1099452.8839,158.9481
63,1099446.8569,160.1381
64,1099440.8325,161.3369
65,1099434.8095,162.5446
66,1099428.7868,163.7613
67,1099422.7633,164.9870
68,1099416.7378,166.2218
69,1099410.7094,167.4658
70,1099404.6769,168.7190
71,1099398.6394,169.9816
72,1099392.5958,171.2535
73,1099386.5451,172.5348
74,1099380.4864,173.8256
75,1099374.4186,175.1260
76,1099368.3408,176.4361
77,1099362.2521,177.7559
78,1099356.1515,179.0855
79,1099350.0381,180.4249
80,1099343.9111,181.7743
81,1099337.7696,183.1336
82,1099331.6126,184.5031
83,1099325.4394,185.8827
84,1099319.2491,187.2726
85,1099313.0408,188.6727
86,1099306.8137,190.0832
87,1099300.5670,191.5042
88,1099294.3000,192.9357
89,1099288.0118,194.3779
90,1099281.7016,195.8307
91,1099275.3687,197.2942
92,1099269.0123,198.7687
93,1099262.6317,200.2540
94,1099256.2261,201.7503
95,1099249.7947,203.2578
96,1099243.3369,204.7764
97,1099236.8520,206.3062
98,1099230.3392,207.8474
99,1099223.7978,209.4000
100,1099217.2271,210.9640
101,1099210.6265,212.5397
102,1099203.9953,214.1270
103,1099197.3327,215.7260
104,1099190.6381,217.3369
105,1099183.9109,218.9597
106,1099177.1503,220.5945
107,1099170.3558,222.2415
108,1099163.5267,223.9005
109,1099156.6624,225.5719
110,1099149.7621,227.2556
111,1099142.8254,228.9518
112,1099135.8515,230.6605
113,1099128.8398,232.3818
114,1099121.7897,234.1159
115,1099114.7007,235.8627
116,1099107.5720,237.6225
117,1099100.4031,239.3953
118,1099093.1934,241.1812
119,1099085.9422,242.9802
120,1099078.6490,244.7926
121,1099071.3133,246.6183
122,1099063.9343,248.4576
123,1099056.5115,250.3103
124,1099049.0443,252.1768
125,1099041.5322,254.0571
126,1099033.9745,255.9512
127,1099026.3707,257.8593
128,1099018.7202,259.7814
129,1099011.0224,261.7178
130,1099003.2768,263.6684
131,1098995.4827,265.6334
132,1098987.6396,267.6129
133,1098979.7470,269.6070
134,1098971.8043,271.6158
135,1098963.8108,273.6394
136,1098955.7661,275.6779
137,1098947.6695,277.7314
138,1098939.5206,279.8001
139,1098931.3187,281.8840
140,1098923.0632,283.9832
141,1098914.7537,286.0979
142,1098906.3896,288.2281
143,1098897.9702,290.3740
144,1098889.4950,292.5358
145,1098880.9636,294.7134
146,1098872.3752,296.9070
147,1098863.7294,299.1168
148,1098855.0255,301.3428
149,1098846.2631,303.5852
150,1098837.4415,305.8441
151,1098828.5602,308.1196
